country,segment_id,road_name,road_class,land_use,speed_limit,median_speed,f85_speed,percent_over,median_gap,f85_gap,sample_total,road_length_km,sinuosity,bearing_change_per_km,limit_alignment_points,operating_speed_points,exposure_points,vulnerable_context_points,geometry_points,qa_points,speed_safety_score,priority_class,recommended_action,confidence
Thailand,16367,Prachim Ratthaya Expressway,motorway,URBAN,80.0,98.36666666,114.5,0.8585945223204515,18.366666660000007,34.5,18126179.0,3.0,1.2156718513771112,27.61456142658401,30,25,14,9,10,0,88,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,16369,Prachim Ratthaya Expressway,motorway,URBAN,80.0,98.23333333,114.83333333,0.8548556829570517,18.233333329999994,34.83333333,10889982.0,2.9,1.1923782164854866,25.885703009863555,30,25,12,9,10,0,86,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,35039,Super Highway,trunk,URBAN,80.0,80.65833333,95.5,0.4284294673853413,0.6583333300000049,15.5,23195475.0,13.0,1.2437228402079494,10.039845858299799,30,17,15,13,10,0,85,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,35515,Chalong Rat Expressway,motorway,URBAN,80.0,91.85,108.66666666,0.7145408970105623,11.849999999999994,28.666666660000004,52823213.0,7.6,1.1309772349420415,21.56266148456493,30,25,14,9,7,0,85,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,35516,Chalong Rat Expressway,motorway,URBAN,80.0,89.12222222,107.11111111,0.6849735483819832,9.122222219999998,27.111111109999996,41509181.0,4.5,1.1315884628225488,21.84334262052145,30,25,14,9,7,0,85,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,36333,Borommaratchachonnani Elevated Highway,primary,URBAN,80.0,83.31428571,99.85714285,0.649748804362655,3.314285709999993,19.857142850000002,12321671.0,3.7,1.0804009034080808,12.10857366208644,30,21,14,13,7,0,85,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,6449, ,trunk,URBAN,90.0,96.4,113.33333333,0.6191277109053277,6.400000000000006,23.333333330000002,466726.0,23.2,1.1806675731592917,27.30493924145297,30,21,9,13,10,0,83,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,36219,Phetkasem Road,trunk,URBAN,80.0,84.46,97.2,0.6258521717919808,4.459999999999994,17.200000000000003,4579329.0,2.6,1.154950705760146,22.47417376167298,30,21,9,13,10,0,83,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,55625,Phahonyothin Road,trunk,URBAN,80.0,91.7,108.0,0.7499996404445256,11.700000000000003,28.0,695303.0,4.9,1.0829400790902812,15.189790039774866,30,25,8,13,7,0,83,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,34479,Sukhumvit Road,trunk,URBAN,80.0,76.4,95.0,0.436296056059396,-3.5999999999999943,15.0,1606439.0,10.8,1.2677043930932923,18.506980922208648,30,17,12,13,10,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,34835,Yantarakit Koson Road,trunk,URBAN,80.0,88.2,103.0,0.6999985013412995,8.200000000000003,23.0,200179.0,3.8,1.1884601169500504,32.39623267500928,30,21,8,13,10,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,35551,Phet Kasem Road,trunk,URBAN,80.0,75.53333333,91.5,0.609870265026725,-4.466666669999995,11.5,17749493.0,21.1,1.1112869726367298,16.8591506334111,30,17,15,13,7,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,35747,Mittraphap Road,trunk,URBAN,80.0,84.22,99.8,0.5012171781039938,4.219999999999999,19.799999999999997,14500343.0,21.6,1.085074255370082,25.057214539255956,30,17,15,13,7,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,36148,Phetkasem Road,trunk,URBAN,90.0,88.1,107.5,0.46636129589205216,-1.9000000000000057,17.5,1373849.0,10.7,1.249729174861507,38.575745582075854,30,17,12,13,10,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,36156,Phetkasem Road,trunk,URBAN,80.0,86.65,102.0,0.657963503265952,6.650000000000006,22.0,1655107.0,6.5,1.0928583629479403,16.397669665282763,30,21,11,13,7,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,55623,Phahonyothin Road,trunk,URBAN,80.0,82.8,99.25,0.6220061992986246,2.799999999999997,19.25,2288646.0,8.8,1.0969340829821521,36.74093522740546,30,21,11,13,7,0,82,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,33987,Khotchaseni Road,trunk,URBAN,80.0,91.7,106.0,0.7500006035775247,11.700000000000003,26.0,414197.0,1.8,1.0248581467502809,47.36867431331714,30,25,6,13,7,0,81,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,36233,Phetkasem Road,trunk,URBAN,90.0,86.77142857,101.0,0.5946769491410369,-3.2285714300000024,11.0,11078008.0,15.3,1.2840086190093898,9.141268487674402,30,13,15,13,10,0,81,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,53416, ,secondary,URBAN,70.0,76.33333333,90.33333333,0.6389535757211539,6.333333330000002,20.333333330000002,319488.0,5.2,1.201108247453812,46.10205718376071,30,21,8,12,10,0,81,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,9056, ,trunk,RURAL,85.0,97.9,114.0,0.754469959920039,12.900000000000006,29.0,1005490.0,13.2,1.0870318352661508,27.133832945185073,28,25,12,8,7,0,80,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,17689, ,primary,URBAN,80.0,83.2,95.0,0.6000004347065351,3.200000000000003,15.0,920161.0,0.4,1.2659377669593002,510.8022917197804,30,21,6,13,10,0,80,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,22557, ,primary,URBAN,80.0,90.3,105.0,0.75,10.299999999999997,25.0,83580.0,7.4,1.1055322264587055,47.22660430205802,30,25,5,13,7,0,80,Critical review,"Integrated speed-limit, design, and enforcement review",Medium
Thailand,33972,Khotchaseni Road,trunk,RURAL,90.0,100.2,115.25,0.7534397091040496,10.200000000000003,25.25,1771080.0,20.0,1.1163036094682846,14.563188167028793,28,25,12,8,7,0,80,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,35804,Mittraphap Road,trunk,URBAN,72.0,85.0,99.75,0.6873100351918191,13.0,27.75,2534680.0,10.7,1.0420647348770136,8.610402348079893,30,25,12,13,0,0,80,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,35817,Mittraphap Road,trunk,URBAN,78.0,94.2,108.8,0.7612701921889733,16.200000000000003,30.799999999999997,2923841.0,10.7,1.0419179892293036,8.139873459311834,30,25,12,13,0,0,80,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,36345,Ratchaphruek Road,primary,URBAN,80.0,71.72916666,85.20833333,0.3958736737876457,-8.270833339999996,5.208333330000002,40267684.0,8.3,1.1557231014330716,24.845230995846475,30,13,14,13,10,0,80,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,36346,Ratchaphruek Road,primary,URBAN,80.0,76.495,92.25,0.45798412854603393,-3.5049999999999955,12.25,36443038.0,5.8,1.156196522620448,22.503234625352135,30,13,14,13,10,0,80,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,36853,Surat Thani Ring Road,trunk,URBAN,80.0,83.9,100.0,0.6,3.9000000000000057,20.0,447180.0,0.1,1.1648397455980901,23.790102374051546,30,21,6,13,10,0,80,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,55622,Phahonyothin Road,trunk,RURAL,81.0,94.98333333,110.5,0.7059777743796384,13.983333329999994,29.5,3354777.0,60.9,1.123405038180802,34.55243942327847,28,25,12,8,7,0,80,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,178,Buraphawithi Expressway,motorway,URBAN,80.0,92.6368421,109.94736842,0.7273532212125042,12.636842099999996,29.947368420000004,81032639.0,10.1,1.0568962025535567,6.967833646984606,30,25,15,9,0,0,79,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,15807,Udon Ratthaya Expressway,motorway,URBAN,80.0,100.6,115.0,0.8543003373158499,20.599999999999994,35.0,11710686.0,18.0,1.05936136032554,11.247177726363965,30,25,15,9,0,0,79,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,16078,Phahon Yothin Road,trunk,URBAN,90.0,88.33333333,105.33333333,0.46220722257519514,-1.666666669999998,15.333333330000002,2447465.0,16.8,1.084722362807653,18.893155169673665,30,17,12,13,7,0,79,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,16088,Phahon Yothin Road,trunk,URBAN,80.0,84.95,99.5,0.447670223134963,4.950000000000003,19.5,1304009.0,2.6,1.2549052196892883,14.442070521163473,30,17,9,13,10,0,79,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,16092,Phahon Yothin Road,trunk,URBAN,80.0,82.4,97.0,0.4937740818385317,2.4000000000000057,17.0,3096732.0,17.6,1.0849759940739874,18.416842164194538,30,17,12,13,7,0,79,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,16866,Lampang Bypass Road,trunk,URBAN,90.0,95.4,114.0,0.6000014857957923,5.400000000000006,24.0,269216.0,4.9,1.0885578110555036,16.435887627092168,30,21,8,13,7,0,79,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,17046,Nakhon Ratchasima Bypass Road,trunk,URBAN,80.0,81.65,96.16666666,0.4740402786902531,1.6500000000000057,16.166666660000004,3698730.0,10.2,1.1189701699554884,9.709178399569874,30,17,12,13,7,0,79,Critical review,"Integrated speed-limit, design, and enforcement review",High
Thailand,17498,Asian Highway,trunk,URBAN,80.0,98.1,112.5,0.814578958553198,18.099999999999994,32.5,4164495.0,5.0,1.0112679998493663,8.708596461762596,30,25,11,13,0,0,79,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,17502,Asian Highway,trunk,URBAN,90.0,93.75,109.0,0.6282674591299563,3.75,19.0,11553511.0,11.7,1.0271035055113884,9.744013958941983,30,21,15,13,0,0,79,Critical review,Urban high-speed corridor speed-limit review,High
Thailand,17515,Asian Highway,trunk,URBAN,90.0,95.925,110.5,0.6270665577265694,5.924999999999997,20.5,11470524.0,11.8,1.027181323668449,11.700231385444019,30,21,15,13,0,0,79,Critical review,Urban high-speed corridor speed-limit review,High
