country,segment_id,road_name,road_class,land_use,speed_limit,median_speed,f85_speed,percent_over,f85_gap,sample_total,speed_safety_score,priority_class,recommended_action,time_pilot_type,time_pilot_selection_score,required_next_data
Thailand,16367,Prachim Ratthaya Expressway,motorway,URBAN,80.0,98.36666666,114.5,0.8585945223204515,34.5,18126179.0,88,Critical review,"Integrated speed-limit, design, and enforcement review",Night/low-visibility curve speed management,116.59,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,16369,Prachim Ratthaya Expressway,motorway,URBAN,80.0,98.23333333,114.83333333,0.8548556829570517,34.83333333,10889982.0,86,Critical review,"Integrated speed-limit, design, and enforcement review",Night/low-visibility curve speed management,114.55,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,35515,Chalong Rat Expressway,motorway,URBAN,80.0,91.85,108.66666666,0.7145408970105623,28.666666660000004,52823213.0,85,Critical review,"Integrated speed-limit, design, and enforcement review",Night/low-visibility curve speed management,111.48,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,35516,Chalong Rat Expressway,motorway,URBAN,80.0,89.12222222,107.11111111,0.6849735483819832,27.111111109999996,41509181.0,85,Critical review,"Integrated speed-limit, design, and enforcement review",Night/low-visibility curve speed management,110.41,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,15807,Udon Ratthaya Expressway,motorway,URBAN,80.0,100.6,115.0,0.8543003373158499,35.0,11710686.0,79,Critical review,Urban high-speed corridor speed-limit review,Night enforcement or average-speed pilot,107.54,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,36333,Borommaratchachonnani Elevated Highway,primary,URBAN,80.0,83.31428571,99.85714285,0.649748804362655,19.857142850000002,12321671.0,85,Critical review,"Integrated speed-limit, design, and enforcement review",Urban time-window speed management,106.43,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,178,Buraphawithi Expressway,motorway,URBAN,80.0,92.6368421,109.94736842,0.7273532212125042,29.947368420000004,81032639.0,79,Critical review,Urban high-speed corridor speed-limit review,Night enforcement or average-speed pilot,106.25,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,55625,Phahonyothin Road,trunk,URBAN,80.0,91.7,108.0,0.7499996404445256,28.0,695303.0,83,Critical review,"Integrated speed-limit, design, and enforcement review",Urban time-window speed management,104.85,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,17519,Asian Highway,trunk,URBAN,80.0,98.23333333,112.33333333,0.761082833667179,32.33333333,6048205.0,79,Critical review,Urban high-speed corridor speed-limit review,Urban time-window speed management,104.63,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
Thailand,17498,Asian Highway,trunk,URBAN,80.0,98.1,112.5,0.814578958553198,32.5,4164495.0,79,Critical review,Urban high-speed corridor speed-limit review,Urban time-window speed management,104.23,"segment-hour median speed, F85 speed, percent over limit, sample count, day/night flag, crash records, and vulnerable-user exposure"
